text	facts	question	label
Gopal is shorter than Ashok but taller than Kunal. Navin is shorter than Kunal. Jayesh is taller than Navin. Jayesh is shorter than Gopal but taller than Kunal.	"taller(Jayesh,Kunal)
shorter(Gopal,Ashok)
taller(Gopal,Kunal)
shorter(Jayesh,Gopal)
shorter(Navin,Kunal)
taller(Jayesh,Navin)"	Is Navin the shortest ?	yes
Gopal is shorter than Ashok but taller than Kunal. Navin is shorter than Kunal. Jayesh is taller than Navin. Ashok is taller than Jayesh.	"shorter(Gopal,Ashok)
taller(Ashok,Jayesh)
taller(Gopal,Kunal)
shorter(Navin,Kunal)
taller(Jayesh,Navin)"	Is Navin the shortest ?	yes
Sam is taller than Kevin but shorter than Salman. Sanjay is shorter than Mike.	"shorter(Sanjay,Mike)
shorter(Sam,Salman)
taller(Sam,Kevin)"	Is Sam taller than Kevin ?	yes
Mike is taller than Salman who is shorter than Sanjay. Sanjay is shorter than Mike.	"shorter(Salman,Sanjay)
shorter(Sanjay,Mike)
taller(Mike,Salman)"	Is Salman the shortest ?	yes
Mike is taller than Salman who is shorter than Sanjay. Sam is taller than Kevin but shorter than Salman.	"shorter(Salman,Sanjay)
shorter(Sam,Salman)
taller(Mike,Salman)
taller(Sam,Kevin)"	Is Kevin the shortest ?	yes
There are four dolls Dottie, Lottie, Suzie and Katy. Dottie is shorter than Lottie but taller than Suzie.	"shorter(Dottie,Lottie)
taller(Dottie,Suzie)"	Is Suzie shorter than Dottie ?	yes
There are four dolls Dottie, Lottie, Suzie and Katy. Lottie is not taller than Katy.  Dottie is taller than Suzie.	"not_taller(Lottie,Katy)
taller(Dottie,Suzie)"	Is Dottie taller than Suzie ?	yes
There are four dolls Dottie, Lottie, Suzie and Katy. Lottie is not taller than Katy. Dottie is shorter than.	not_taller(Lottie,Katy)	Is Lottie shorter than Katy ?	yes
Ross is shorter than Peter. Sam is taller than Tom. Sam is shorter than Katy. Katy is shorter than Ross.	"shorter(Sam,Katy)
taller(Sam,Tom)
shorter(Ross,Peter)
shorter(Katy,Ross)"	Is Tom the shortest ?	yes
Peter is taller than Katy. Sam is taller than Tom but shorter than Katy. Katy is shorter than Ross.	"shorter(Sam,Katy)
taller(Sam,Tom)
taller(Peter,Katy)
shorter(Katy,Ross)"	Is Tom the shortest ?	yes
Peter is taller than Katy. Ross is shorter than Peter. Sam is shorter than Katy. Katy is shorter than Ross.	"shorter(Sam,Katy)
shorter(Ross,Peter)
taller(Peter,Katy)
shorter(Katy,Ross)"	Is Sam the shortest ?	yes
Peter is taller than Katy. Ross is shorter than Peter. Sam is taller than Tom. Katy is shorter than Ross.	"taller(Sam,Tom)
shorter(Ross,Peter)
taller(Peter,Katy)
shorter(Katy,Ross)"	Is Ross taller than Katy ?	yes
Peter is taller than Katy. Ross is shorter than Peter. Katy is shorter than Ross.	"shorter(Ross,Peter)
taller(Peter,Katy)
shorter(Katy,Ross)"	Is Katy the shortest ?	yes
Peter is taller than Katy. Ross is shorter than Peter. Sam is taller than Tom but shorter than Katy.	"shorter(Sam,Katy)
taller(Sam,Tom)
shorter(Ross,Peter)
taller(Peter,Katy)"	Is Peter the tallest ?	yes
Vineet is shorter than Ravi. Jacob is taller than Dilip but shorter than Manick.	"taller(Jacob,Dilip)
shorter(Jacob,Manick)
shorter(Vineet,Ravi)"	Is Dilip shorter than Manick ?	yes
Vineet is taller than Manick. Jacob is taller than Dilip but shorter than Manick.	"taller(Jacob,Dilip)
taller(Vineet,Manick)
shorter(Jacob,Manick)"	Is Dilip the shortest ?	yes
Vineet is taller than Manick but shorter than Ravi. Jacob is shorter than Manick.	"shorter(Vineet,Ravi)
taller(Vineet,Manick)
shorter(Jacob,Manick)"	Is Jacob the shortest ?	yes
Vineet is taller than Manick but shorter than Ravi. Jacob is taller than Dilip.	"taller(Jacob,Dilip)
taller(Vineet,Manick)
shorter(Vineet,Ravi)"	Is Vineet taller than Manick ?	yes
Rohan is taller than Anand. Krishna is taller than Pushpa but shorter than Anand. Dhiraj is taller than Krishna but shorter than Seema. Dhiraj is taller than Rohan.	"shorter(Krishna,Anand)
taller(Rohan,Anand)
taller(Dhiraj,Rohan)
taller(Dhiraj,Krishna)
shorter(Dhiraj,Seema)
taller(Krishna,Pushpa)"	Is Pushpa the shortest ?	yes
Rohan is shorter than Seema. Krishna is taller than Pushpa but shorter than Anand. Dhiraj is taller than Krishna but shorter than Seema. Dhiraj is taller than Rohan.	"shorter(Krishna,Anand)
taller(Dhiraj,Rohan)
shorter(Rohan,Seema)
taller(Dhiraj,Krishna)
shorter(Dhiraj,Seema)
taller(Krishna,Pushpa)"	Is Rohan shorter than Dhiraj ?	yes
Rohan is taller than Anand but shorter than Seema. Krishna is shorter than Anand. Dhiraj is taller than Krishna but shorter than Seema. Dhiraj is taller than Rohan.	"shorter(Krishna,Anand)
taller(Rohan,Anand)
taller(Dhiraj,Rohan)
shorter(Rohan,Seema)
taller(Dhiraj,Krishna)
shorter(Dhiraj,Seema)"	Is Krishna the shortest ?	yes
Rohan is taller than Anand but shorter than Seema. Krishna is taller than Pushpa. Dhiraj is taller than Krishna but shorter than Seema. Dhiraj is taller than Rohan.	"taller(Rohan,Anand)
taller(Dhiraj,Rohan)
shorter(Rohan,Seema)
taller(Dhiraj,Krishna)
shorter(Dhiraj,Seema)
taller(Krishna,Pushpa)"	Is Seema the tallest ?	yes
Rohan is taller than Anand but shorter than Seema. Krishna is taller than Pushpa but shorter than Anand. Dhiraj is shorter than Seema. Dhiraj is taller than Rohan.	"shorter(Krishna,Anand)
taller(Rohan,Anand)
taller(Dhiraj,Rohan)
shorter(Rohan,Seema)
shorter(Dhiraj,Seema)
taller(Krishna,Pushpa)"	Is Pushpa the shortest ?	yes
Rohan is taller than Anand but shorter than Seema. Krishna is taller than Pushpa but shorter than Anand. Dhiraj is taller than Krishna. Dhiraj is taller than Rohan.	"shorter(Krishna,Anand)
taller(Rohan,Anand)
taller(Dhiraj,Rohan)
shorter(Rohan,Seema)
taller(Dhiraj,Krishna)
taller(Krishna,Pushpa)"	Is Pushpa the shortest ?	yes
Rohan is taller than Anand but shorter than Seema. Krishna is taller than Pushpa but shorter than Anand. Dhiraj is taller than Krishna but shorter than Seema.	"shorter(Krishna,Anand)
taller(Rohan,Anand)
shorter(Rohan,Seema)
taller(Dhiraj,Krishna)
shorter(Dhiraj,Seema)
taller(Krishna,Pushpa)"	Is Pushpa the shortest ?	yes
A, B, C, D, E and F are six students in a class. D is taller than C. E is shorter than D but taller than F. A is shorter than E but taller than F. B is shorter than C.	"shorter(A,E)
taller(A,F)
taller(D,C)
shorter(B,C)
taller(E,F)
shorter(E,D)"	Is D the tallest ?	yes
A, B, C, D, E and F are six students in a class. B and C are shorter than F. E is shorter than D but taller than F. A is shorter than E but taller than F. B is shorter than C.	"shorter(A,E)
taller(A,F)
shorter(B,C)
shorter(B,F)
shorter(C,F)
taller(E,F)
shorter(E,D)"	Is B the shortest ?	yes
A, B, C, D, E and F are six students in a class. B and C are shorter than F. D is taller than C. E is taller than F. A is shorter than E but taller than F. B is shorter than C.	"shorter(A,E)
taller(A,F)
taller(D,C)
shorter(B,C)
taller(E,F)"	Is B the shortest ?	yes
A, B, C, D, E and F are six students in a class. B and C are shorter than F. D is taller than C. E is shorter than D. A is shorter than E but taller than F. B is shorter than C.	"shorter(A,E)
taller(A,F)
shorter(B,F)
shorter(C,F)
taller(D,C)
shorter(B,C)
shorter(E,D)"	Is B the shortest ?	yes
A, B, C, D, E and F are six students in a class. B and C are shorter than F. D is taller than C. E is shorter than D but taller than F. A is taller than F. B is shorter than C.	"taller(A,F)
taller(D,C)
shorter(B,C)
shorter(B,F)
shorter(C,F)
taller(E,F)
shorter(E,D)"	Is B the shortest ?	yes
A, B, C, D, E and F are six students in a class. B and C are shorter than F. D is taller than C. E is shorter than D but taller than F. A is shorter than E. B is shorter than C.	"shorter(A,E)
taller(D,C)
shorter(B,C)
shorter(B,F)
shorter(C,F)
taller(E,F)
shorter(E,D)"	Is D the tallest ?	yes
A, B, C, D, E and F are six students in a class. B and C are shorter than F. D is taller than C. E is shorter than D but taller than F. A is shorter than E but taller than F.	"shorter(A,E)
taller(A,F)
shorter(B,F)
shorter(C,F)
taller(D,C)
taller(E,F)
shorter(E,D)"	Is D the tallest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. DD is taller than BB and shorter than CC. EE is shorter than DD but taller than FF. FF is taller than BB.	"taller(FF,BB)
shorter(EE,DD)
shorter(DD,CC)
taller(EE,FF)
taller(DD,BB)"	Is BB the shortest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. BB and CC are taller than AA. DD is shorter than CC. EE is shorter than DD but taller than FF. FF is taller than BB.	"taller(EE,FF)
shorter(DD,CC)
taller(BB,AA)
taller(CC,AA)
taller(FF,BB)
shorter(EE,DD)"	Is AA the shortest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. BB and CC are taller than AA. DD is taller than BB. EE is shorter than DD but taller than FF. FF is taller than BB.	"taller(EE,FF)
taller(FF,BB)
taller(BB,AA)
taller(CC,AA)
taller(DD,BB)
shorter(EE,DD)"	Is AA the shortest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. BB and CC are taller than AA. DD is taller than BB and shorter than CC. EE is taller than FF. FF is taller than BB.	"shorter(DD,CC)
taller(EE,FF)
taller(BB,AA)
taller(CC,AA)
taller(FF,BB)
taller(DD,BB)"	Is AA the shortest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. BB and CC are taller than AA. DD is taller than BB and shorter than CC. EE is shorter than DD. FF is taller than BB.	"shorter(DD,CC)
taller(FF,BB)
taller(BB,AA)
taller(CC,AA)
taller(DD,BB)
shorter(EE,DD)"	Is FF taller than BB ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. BB and CC are taller than AA. DD is taller than BB and shorter than CC. EE is shorter than DD but taller than FF.	"taller(EE,FF)
shorter(DD,CC)
taller(BB,AA)
taller(CC,AA)
taller(DD,BB)
shorter(EE,DD)"	Is CC the tallest ?	yes
A, B, C, D, E and F are six friends in a group. D is taller than B and shorter than E. E is shorter than F but taller than C. C is taller than B but shorter than D.	"shorter(E,F)
shorter(C,D)
shorter(D,E)
taller(E,C)
taller(D,B)
taller(C,B)"	Is B the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B is taller than A. D is taller than B and shorter than E. E is shorter than F but taller than C. C is taller than B but shorter than D.	"shorter(E,F)
taller(B,A)
shorter(C,D)
shorter(D,E)
taller(E,C)
taller(D,B)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. C is taller than A. D is taller than B and shorter than E. E is shorter than F but taller than C. C is taller than B but shorter than D.	"shorter(E,F)
taller(C,A)
shorter(C,D)
shorter(D,E)
taller(E,C)
taller(D,B)
taller(C,B)"	Is F the tallest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is shorter than E. E is shorter than F but taller than C. C is taller than B but shorter than D.	"shorter(E,F)
shorter(C,D)
taller(B,A)
taller(C,A)
shorter(D,E)
taller(E,C)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is taller than B. E is shorter than F but taller than C. C is taller than B but shorter than D.	"shorter(E,F)
shorter(C,D)
taller(E,C)
taller(B,A)
taller(C,A)
taller(D,B)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is taller than B and shorter than E. E is taller than C. C is taller than B but shorter than D.	"shorter(C,D)
shorter(D,E)
taller(E,C)
taller(B,A)
taller(C,A)
taller(D,B)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is taller than B and shorter than E. E is shorter than F. C is taller than B but shorter than D.	"shorter(E,F)
shorter(C,D)
shorter(D,E)
taller(B,A)
taller(C,A)
taller(D,B)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is taller than B and shorter than E. E is shorter than F but taller than C. C is shorter than D.	"shorter(E,F)
shorter(C,D)
shorter(D,E)
taller(B,A)
taller(C,A)
taller(E,C)
taller(D,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is taller than B and shorter than E. E is shorter than F but taller than C. C is taller than B.	"shorter(E,F)
shorter(D,E)
taller(E,C)
taller(B,A)
taller(C,A)
taller(D,B)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. E is shorter than F but taller than C. C is taller than B but shorter than D.	"taller(E,C)
shorter(C,D)
shorter(E,F)
taller(B,A)
taller(C,A)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is taller than B and shorter than E. C is taller than B but shorter than D.	"shorter(C,D)
taller(D,B)
shorter(D,E)
taller(B,A)
taller(C,A)
taller(C,B)"	Is A the shortest ?	yes
A, B, C, D, E and F are six friends in a group. B and C are taller than A. D is taller than B and shorter than E. E is shorter than F but taller than C.	"taller(E,C)
taller(D,B)
shorter(E,F)
taller(B,A)
taller(C,A)
shorter(D,E)"	Is A the shortest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. BB is shorter than CC. CC is shorter than DD. DD is shorter than EE. EE is shorter than FF.	"shorter(EE,FF)
shorter(BB,CC)
shorter(CC,DD)
shorter(DD,EE)"	Is BB the shortest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. AA is shorter than BB. CC is shorter than DD. DD is shorter than EE. EE is shorter than FF.	"shorter(EE,FF)
shorter(DD,EE)
shorter(CC,DD)
shorter(AA,BB)"	Is EE shorter than FF ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. AA is shorter than BB. BB is shorter than CC. DD is shorter than EE. EE is shorter than FF.	"shorter(EE,FF)
shorter(BB,CC)
shorter(DD,EE)
shorter(AA,BB)"	Is EE shorter than FF ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. AA is shorter than BB. BB is shorter than CC. CC is shorter than DD. EE is shorter than FF.	"shorter(EE,FF)
shorter(BB,CC)
shorter(CC,DD)
shorter(AA,BB)"	Is EE shorter than FF ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. AA is shorter than BB. BB is shorter than CC. CC is shorter than DD. DD is shorter than EE. DD is shorter than FF.	"shorter(DD,FF)
shorter(DD,EE)
shorter(CC,DD)
shorter(AA,BB)
shorter(BB,CC)"	Is AA the shortest ?	yes
AA, BB, CC, DD, EE and FF are six friends in a group. AA is shorter than CC. BB is shorter than CC. CC is shorter than DD. DD is shorter than EE. EE is shorter than FF.	"shorter(BB,CC)
shorter(DD,EE)
shorter(CC,DD)
shorter(AA,CC)
shorter(EE,FF)"	Is FF the tallest ?	yes
A, B, C, D and E are five friends. C is taller than D and E. A is taller than D.  B is shorter than E but taller than A. D is the shortest.	"taller(B,A)
taller(A,D)
shortest(D)
taller(C,E)
taller(C,D)
shorter(B,E)"	Is D the shortest ?	yes
A, B, C, D and E are five friends. B is shorter than C. A is taller than D.  B is shorter than E but taller than A. D is the shortest.	"taller(B,A)
taller(A,D)
shortest(D)
shorter(B,C)
shorter(B,E)"	Is D the shortest ?	yes
A, B, C, D and E are five friends. B is shorter than C. C is taller than D and E. B is shorter than E but taller than A. D is the shortest.	"taller(B,A)
shortest(D)
shorter(B,C)
taller(C,E)
taller(C,D)
shorter(B,E)"	Is D the shortest ?	yes
A, B, C, D and E are five friends. B is shorter than C. C is taller than D and E. A is taller than D. D is the shortest.	"taller(A,D)
shortest(D)
shorter(B,C)
taller(C,E)
taller(C,D)"	Is D the shortest ?	yes
A, B, C, D and E are five friends. B is shorter than C. C is taller than D and E. A is taller than D.  B is shorter than E. D is the shortest.	"taller(A,D)
shortest(D)
shorter(B,C)
taller(C,E)
taller(C,D)
shorter(B,E)"	Is D the shortest ?	yes
A, B, C, D and E are five friends. B is shorter than C. C is taller than D and E. A is taller than D.  B is taller than A. D is the shortest.	"taller(B,A)
taller(A,D)
shortest(D)
shorter(B,C)
taller(C,E)
taller(C,D)"	Is D the shortest ?	yes
A, B, C, D and E are five friends. B is shorter than C. C is taller than D and E. A is taller than D.  B is shorter than E but taller than A.	"taller(A,D)
taller(B,A)
shorter(B,C)
taller(C,E)
taller(C,D)
shorter(B,E)"	Is D the shortest ?	yes
CC is taller than AA. EE is taller than FF but shorter than BB.	"taller(CC,AA)
shorter(EE,BB)
taller(EE,FF)"	Is EE taller than FF ?	yes
AA is taller than BB. EE is taller than FF but shorter than BB.	"shorter(EE,BB)
taller(EE,FF)
taller(AA,BB)"	Is FF the shortest ?	yes
AA is taller than BB and CC is taller than AA. EE is taller than FF.	"taller(CC,AA)
taller(EE,FF)
taller(AA,BB)"	Is EE taller than FF ?	yes
AA is taller than BB and CC is taller than AA. EE is shorter than BB.	"shorter(EE,BB)
taller(CC,AA)
taller(AA,BB)"	Is EE the shortest ?	yes
Ramesh is shorter than Nandu. Satish is taller than Vinod but shorter than Subodh. Vinod is taller than Jayesh.	"shorter(Ramesh,Nandu)
shorter(Satish,Subodh)
taller(Satish,Vinod)
taller(Vinod,Jayesh)"	Is Vinod shorter than Subodh ?	yes
Jayesh is taller than Nandu. Satish is taller than Vinod but shorter than Subodh. Vinod is taller than Jayesh.	"shorter(Satish,Subodh)
taller(Jayesh,Nandu)
taller(Satish,Vinod)
taller(Vinod,Jayesh)"	Is Nandu the shortest ?	yes
Jayesh is taller than Nandu. Ramesh is shorter than Nandu. Satish is shorter than Subodh. Vinod is taller than Jayesh.	"shorter(Ramesh,Nandu)
shorter(Satish,Subodh)
taller(Jayesh,Nandu)
taller(Vinod,Jayesh)"	Is Nandu taller than Ramesh ?	yes
Jayesh is taller than Nandu. Ramesh is shorter than Nandu. Satish is taller than Vinod. Vinod is taller than Jayesh.	"shorter(Ramesh,Nandu)
taller(Jayesh,Nandu)
taller(Satish,Vinod)
taller(Vinod,Jayesh)"	Is Ramesh the shortest ?	yes
Jayesh is taller than Nandu. Ramesh is shorter than Nandu. Satish is taller than Vinod but shorter than Subodh.	"shorter(Ramesh,Nandu)
taller(Jayesh,Nandu)
taller(Satish,Vinod)
shorter(Satish,Subodh)"	Is Nandu taller than Ramesh ?	yes
Jayesh is taller than Nandu. Ramesh is shorter than Nandu. Satish is taller than Vinod. Vinod is taller than Jayesh. Subodh is taller than Vinod.	"shorter(Ramesh,Nandu)
taller(Jayesh,Nandu)
taller(Satish,Vinod)
taller(Vinod,Jayesh)
taller(Subodh,Vinod)"	Is Ramesh the shortest ?	yes
A is shorter than C. B is not taller than D but taller than E. D is shorter than A.	"shorter(A,C)
not_taller(B,D)
shorter(D,A)
taller(B,E)"	Is E the shortest ?	yes
A is taller than B. B is not taller than D but taller than E. D is shorter than A.	"shorter(D,A)
not_taller(B,D)
taller(A,B)
taller(B,E)"	Is E the shortest ?	yes
A is taller than B but shorter than C. B is taller than E. D is shorter than A.	"shorter(D,A)
shorter(A,C)
taller(A,B)
taller(B,E)"	Is C the tallest ?	yes
A is taller than B but shorter than C. B is not taller than D. D is shorter than A.	"shorter(D,A)
shorter(A,C)
not_taller(B,D)
taller(A,B)"	Is B the shortest ?	yes
A is taller than B but shorter than C. B is not taller than D but taller than E.	"shorter(A,C)
not_taller(B,D)
taller(A,B)
taller(B,E)"	Is E the shortest ?	yes
Peter is not taller than Mike. Mike is taller than Katy and Sam. Ross is not taller than Mike. Katy is taller than Peter but is not the tallest. Sam is shorter than Peter.	"taller(Mike,Katy)
shorter(Sam,Peter)
taller(Mike,Sam)
taller(Katy,Peter)
not_taller(Peter,Mike)
not_taller(Ross,Mike)
not_tallest(Katy)"	Is Mike the tallest ?	yes
Peter is taller than Ross. Mike is taller than Katy and Sam. Ross is not taller than Mike. Katy is taller than Peter but is not the tallest. Sam is taller than Ross but is shorter than Peter.	"taller(Mike,Katy)
taller(Mike,Sam)
taller(Katy,Peter)
not_taller(Ross,Mike)
taller(Peter,Ross)
shorter(Sam,Peter)
taller(Sam,Ross)
not_tallest(Katy)"	Is Ross the shortest ?	yes
Peter is taller than Ross but is not taller than Mike. Ross is not taller than Mike. Katy is taller than Peter but is not the tallest. Sam is taller than Ross but is shorter than Peter.	"not_taller(Peter,Mike)
taller(Katy,Peter)
not_taller(Ross,Mike)
taller(Peter,Ross)
shorter(Sam,Peter)
taller(Sam,Ross)
not_tallest(Katy)"	Is Ross the shortest ?	yes
Peter is taller than Ross but is not taller than Mike. Mike is taller than Katy. Ross is not taller than Mike. Katy is taller than Sam but is not the tallest. Sam is taller than Ross but is shorter than Peter.	"taller(Mike,Katy)
not_taller(Peter,Mike)
not_taller(Ross,Mike)
taller(Peter,Ross)
shorter(Sam,Peter)
taller(Katy,Sam)
taller(Sam,Ross)
not_tallest(Katy)"	Is Ross the shortest ?	yes
Peter is taller than Ross but is not taller than Mike. Mike is taller than Katy and Sam. Katy is taller than Sam. Sam is taller than Ross but is shorter than Peter.	"taller(Mike,Katy)
taller(Mike,Sam)
not_taller(Peter,Mike)
taller(Peter,Ross)
shorter(Sam,Peter)
taller(Katy,Sam)
taller(Sam,Ross)"	Is Ross the shortest ?	yes
